Store ID,Product ID,Avg_Daily_Demand,Std_Daily_Demand,Avg_Price,Avg_Inventory,Min_Inventory,Low_Stock_Days,Total_Days,Total_Revenue,Safety_Stock,Reorder_Point,Annual_Demand,Holding_Cost_Per_Unit,EOQ,Stockout_Risk_Pct,Recommendation
S001,P0001,137.3064295485636,108.18785893813579,55.05737346101232,272.8248974008208,50,7,731,5046615.7035,472.0,1433.0,50116.846785225716,11.011474692202464,675.0,0.96,"🟡 WARNING — Below reorder point, place order now"
S001,P0002,131.03830369357044,104.31321989990398,55.45325581395349,272.66347469220244,50,6,731,4793034.0855,455.0,1372.0,47828.98084815321,11.0906511627907,657.0,0.82,"🟡 WARNING — Below reorder point, place order now"
S001,P0003,141.4404924760602,107.21122514209723,54.33708618331054,274.5430916552668,50,9,731,4885109.58,468.0,1458.0,51625.77975376197,10.867417236662108,689.0,1.23,"🟡 WARNING — Below reorder point, place order now"
S001,P0004,140.90424076607388,113.6441170415594,55.605991792065666,275.90697674418607,51,10,731,5139828.384,496.0,1482.0,51430.04787961697,11.121198358413134,680.0,1.37,"🟡 WARNING — Below reorder point, place order now"
S001,P0005,133.1299589603283,107.36887290250596,53.894103967168256,269.3255813953488,50,7,731,4803527.741,469.0,1401.0,48592.435020519835,10.778820793433653,671.0,0.96,"🟡 WARNING — Below reorder point, place order now"
S001,P0006,130.6730506155951,109.01526133639567,55.2903830369357,272.95348837209303,50,10,731,4705041.571,476.0,1391.0,47695.66347469221,11.058076607387141,657.0,1.37,"🟡 WARNING — Below reorder point, place order now"
S001,P0007,137.8235294117647,111.19889766930544,54.703529411764706,278.4117647058824,51,8,731,4940513.128,485.0,1450.0,50305.58823529411,10.940705882352942,678.0,1.09,"🟡 WARNING — Below reorder point, place order now"
S001,P0008,137.1326949384405,108.69904492649799,55.131668946648425,269.9247606019152,50,7,731,4926613.306,475.0,1435.0,50053.43365253078,11.026333789329685,674.0,0.96,"🟡 WARNING — Below reorder point, place order now"
S001,P0009,131.43638850889192,107.08680253328265,55.40010943912449,270.5280437756498,50,7,731,4845080.927,467.0,1387.0,47974.28180574555,11.080021887824898,658.0,0.96,"🟡 WARNING — Below reorder point, place order now"
S001,P0010,132.3611491108071,105.91637083958466,56.620465116279064,274.8864569083447,51,5,731,4894993.5495,462.0,1389.0,48311.81942544459,11.324093023255813,653.0,0.68,"🟡 WARNING — Below reorder point, place order now"
S001,P0011,132.4924760601915,109.90265124887547,54.38160054719562,269.1942544459644,50,10,731,4699604.753,480.0,1407.0,48359.7537619699,10.876320109439124,667.0,1.37,"🟡 WARNING — Below reorder point, place order now"
S001,P0012,128.39124487004105,102.24027638373987,54.03842681258549,266.76333789329686,50,11,731,4465039.0615,446.0,1345.0,46862.804377564986,10.807685362517098,658.0,1.5,"🟡 WARNING — Below reorder point, place order now"
S001,P0013,132.87414500683994,109.16111268388767,54.802900136798904,263.73050615595076,50,6,731,4781014.3655,477.0,1407.0,48499.062927496576,10.960580027359782,665.0,0.82,"🟡 WARNING — Below reorder point, place order now"
S001,P0014,136.62106703146375,110.66719227478023,55.52217510259918,270.89603283173733,50,11,731,4915551.911,483.0,1439.0,49866.68946648427,11.104435020519837,670.0,1.5,"🟡 WARNING — Below reorder point, place order now"
S001,P0015,137.88645690834474,112.80404622056196,54.64704514363885,277.484268125855,50,13,731,4891509.527,492.0,1457.0,50328.55677154583,10.92940902872777,679.0,1.78,"🟡 WARNING — Below reorder point, place order now"
S001,P0016,132.9329685362517,107.53893029050003,55.88120383036936,265.3939808481532,50,9,731,4825528.0965,469.0,1400.0,48520.53351573187,11.176240766073873,659.0,1.23,"🟡 WARNING — Below reorder point, place order now"
